date,AAPL,AMZN,CAT,JNJ,JPM,KO,MSFT,NVDA,V,XOM
2015-01-02,24.214895248413086,15.425999641418457,69.1585693359375,76.54862213134766,46.51112365722656,29.78339958190918,39.7676887512207,0.48301148414611816,61.21474075317383,57.533447265625
2015-01-05,23.532716751098633,15.10949993133545,65.50792694091797,76.01398468017578,45.067203521728516,29.78339958190918,39.4019775390625,0.47485318779945374,59.86350631713867,55.95920944213867
2015-01-06,23.534936904907227,14.76449966430664,65.08643341064453,75.64047241210938,43.89865493774414,30.009580612182617,38.823673248291016,0.4604565501213074,59.4777717590332,55.66170883178711
2015-01-07,23.864952087402344,14.920999526977539,66.09503936767578,77.31031799316406,43.965633392333984,30.384166717529297,39.31694412231445,0.45925673842430115,60.27467346191406,56.2257080078125
2015-01-08,24.781890869140625,15.02299976348877,66.77246856689453,77.91815948486328,44.948116302490234,30.751686096191406,40.47357940673828,0.47653284668922424,61.08311080932617,57.161563873291016
2015-01-09,24.808469772338867,14.846500396728516,65.97463989257812,76.85621643066406,44.166603088378906,30.41244125366211,40.133384704589844,0.4784524738788605,60.177635192871094,57.080989837646484
2015-01-12,24.197172164916992,14.570500373840332,65.402587890625,76.59258270263672,43.7869987487793,30.13679313659668,39.63161087036133,0.47245389223098755,60.05982208251953,55.983985900878906
2015-01-13,24.412015914916992,14.737000465393066,65.01113891601562,76.7243881225586,43.79445266723633,30.12972640991211,39.4275016784668,0.471733957529068,60.235389709472656,55.77946472167969
2015-01-14,24.31899070739746,14.66349983215332,64.78533172607422,76.16780090332031,42.28352355957031,30.080251693725586,39.087318420410156,0.4736534357070923,59.029659271240234,55.61832809448242
2015-01-15,23.658967971801758,14.34749984741211,63.98851776123047,75.06187438964844,40.928897857666016,29.953039169311523,38.679100036621094,0.4702942967414856,58.4683723449707,55.134918212890625
2015-01-16,23.47513198852539,14.536999702453613,63.639434814453125,76.19708251953125,41.62855529785156,30.05904769897461,39.325439453125,0.47893238067626953,58.888755798339844,56.473609924316406
2015-01-20,24.079788208007812,14.472000122070312,63.72293472290039,74.18302154541016,41.46479415893555,30.50432586669922,39.45302200317383,0.48037195205688477,59.32532501220703,56.45502471923828
2015-01-21,24.26362419128418,14.862500190734863,64.78532409667969,74.62977600097656,41.59877014160156,30.645666122436523,39.05331039428711,0.48709049820899963,59.426963806152344,56.93844985961914
2015-01-22,24.89484977722168,15.515999794006348,65.88571166992188,75.99200439453125,42.86408615112305,30.942514419555664,40.082359313964844,0.49548861384391785,59.5008659362793,57.55821228027344
2015-01-23,25.023313522338867,15.619500160217285,64.96746826171875,74.84947967529297,42.186767578125,30.610334396362305,40.12488555908203,0.49692830443382263,59.66024398803711,56.3310661315918
2015-01-26,25.049890518188477,15.482999801635742,65.28620910644531,74.89347839355469,42.25374984741211,30.391231536865234,39.980308532714844,0.49476882815361023,59.25371551513672,56.870277404785156
2015-01-27,24.172807693481445,15.337499618530273,60.59634780883789,74.76891326904297,41.829505920410156,29.96010971069336,36.28077697753906,0.47101420164108276,57.97407913208008,56.368247985839844
2015-01-28,25.53937339782715,15.195500373840332,60.7177619934082,74.32220458984375,40.750267028808594,29.62791633605957,35.03059768676758,0.46333593130111694,56.90462875366211,54.508934020996094
2015-01-29,26.33449363708496,15.58899974822998,60.7101936340332,74.98133087158203,41.43502426147461,29.75513458251953,35.72799301147461,0.47461339831352234,57.283443450927734,54.279632568359375
2015-01-30,25.94911766052246,17.726499557495117,60.68743133544922,73.34080505371094,40.47488021850586,29.097827911376953,34.35873031616211,0.46069636940956116,58.87952423095703,54.180477142333984
2015-02-02,26.27469825744629,18.223499298095703,61.347633361816406,73.84613037109375,41.28617477416992,29.394676208496094,35.107139587402344,0.47077420353889465,58.978843688964844,55.51914978027344
2015-02-03,26.279130935668945,18.177499771118164,63.68497085571289,75.03988647460938,42.2165412902832,29.42294692993164,35.37929153442383,0.4825315475463867,60.0067138671875,57.17396545410156
2015-02-04,26.48067283630371,18.237499237060547,62.18997573852539,74.23429870605469,41.963478088378906,29.45828628540039,35.58340835571289,0.4837312698364258,61.184730529785156,56.68431091308594
2015-02-05,26.66968536376953,18.694499969482422,63.41938781738281,75.03988647460938,42.25374984741211,29.53603744506836,36.1021842956543,0.49164944887161255,62.78079605102539,57.24211120605469
2015-02-06,26.445104598999023,18.714000701904297,63.14618682861328,74.04388427734375,43.08736038208008,29.29573631286621,36.068172454833984,0.48948991298675537,61.769107818603516,57.135963439941406
2015-02-09,26.62076759338379,18.527999877929688,64.25413513183594,73.07713317871094,43.03526306152344,29.140241622924805,36.02564239501953,0.4890102446079254,61.31636428833008,57.17342758178711
2015-02-10,27.1321964263916,18.649999618530273,63.669776916503906,73.4946060180664,43.51161193847656,29.967174530029297,36.229766845703125,0.5026869177818298,61.10618209838867,56.83000183105469
2015-02-11,27.76814079284668,18.756999969482422,63.2979621887207,73.51654815673828,43.44462585449219,29.945955276489258,36.04265594482422,0.4993278384208679,61.55046844482422,56.57398986816406
