date,AAPL,AMZN,CAT,JNJ,JPM,KO,MSFT,NVDA,V,XOM
2015-01-05,-0.02817185415489909,-0.020517290123177045,-0.052786551689445016,-0.006984285755718855,-0.031044619479402735,0.0,-0.009196189762146423,-0.016890481105406696,-0.022073677343232068,-0.027362132781966975
2015-01-06,9.434328522606172e-05,-0.022833334564125174,-0.006434237045137792,-0.004913730935668381,-0.025929023606290014,0.00759419789038529,-0.014677037217184385,-0.0303180815629831,-0.006443567739951028,-0.005316383367766742
2015-01-07,0.014022352548831662,0.010599740338593344,0.015496408455318633,0.022076086092600367,0.0015257518638061018,0.012482217268794837,0.012705414834624174,-0.0026057001397638,0.013398311323924661,0.010132624165920312
2015-01-08,0.03842198293045418,0.0068360190164749035,0.010249319853647743,0.007862359222904347,0.022346611076631495,0.012095753096631023,0.02941823964816681,0.03761753899180009,0.013412554576889502,0.016644625717269435
2015-01-09,0.0010725131241433594,-0.011748610100441481,-0.011948467556162301,-0.013628954549491312,-0.01738700702943652,-0.011031747705414818,-0.008405352507364294,0.004028320823995957,-0.01482366573113092,-0.0014095841713347435
2015-01-12,-0.02464068171199596,-0.018590241168821242,-0.008670786273097586,-0.00343021996490267,-0.008594827608544131,-0.009063662951826923,-0.0125026542845047,-0.012537466050163482,-0.0019577557339028884,-0.01921837620349176
2015-01-13,0.008878878429914083,0.0114272047823194,-0.005985221490990678,0.0017208640219588123,0.00017023131682991632,-0.00023448834295469734,-0.005150161384108065,-0.0015238200251032064,0.002923212571490863,-0.003653208607928171
2015-01-14,-0.003810631938130471,-0.00498748937494764,-0.0034733615455209144,-0.007254371561089434,-0.034500467882234265,-0.0016420566026197347,-0.008628070346197725,0.004068984535432696,-0.020016977462051777,-0.002888816305450126
2015-01-15,-0.027140219079689665,-0.02155010661563239,-0.012299295899461327,-0.014519606717747102,-0.03203672702431859,-0.004229104387467486,-0.010443755168835112,-0.007091976353115648,-0.00950855778601789,-0.00869155722859194
2015-01-16,-0.007770245240429574,0.01320786597364454,-0.005455399796568616,0.015123631525505443,0.01709446080416499,0.003539157714977259,0.01671030132272877,0.0183674009968533,0.007189929127645822,0.02428028833300777
2015-01-20,0.025757308618242325,-0.004471320197683593,0.001312078095770719,-0.026432258395258645,-0.00393386553399,0.014813448921730199,0.0032442752534502795,0.003005792547546182,0.0074134562353835864,-0.0003290953970009891
2015-01-21,0.007634451835221379,0.0269831443733215,0.016672009511161212,0.006022327565788466,0.0032310779634521225,0.004633449575478066,-0.010131330595019139,0.013986133293892422,0.0017132446206471474,0.0085630135277599
2015-01-22,0.026015305090500318,0.043969695198313286,0.016985136504064968,0.018253148629802318,0.03041714947856322,0.009686469073087345,0.02634985124918554,0.017241386694664573,0.0012435790993465812,0.010884778601846667
2015-01-23,0.005160253878484067,0.006670557333399607,-0.013936912646605348,-0.01503480173133187,-0.015801540026073813,-0.010735392046336778,0.0010609716055902663,0.002905597726526654,0.0026785837357139464,-0.021320087960796763
2015-01-26,0.0010620893921935437,-0.008739099022464725,0.004906160779461599,0.0005878293136116763,0.0015877554297818453,-0.007157806793613775,-0.003603176042815237,-0.0043456495855530575,-0.006814059844976628,0.009572182992839906
2015-01-27,-0.03501343944278679,-0.009397415550576715,-0.07183540539106625,-0.0016632305934188851,-0.010040385256551043,-0.014185730698307308,-0.0925338420574856,-0.04801156653537675,-0.02159588427378445,-0.008827623881136004
2015-01-28,0.05653318065795965,-0.009258304692531638,0.002003655153497652,-0.0059745241661037785,-0.02580089981591105,-0.011087855746910735,-0.034458448658512886,-0.01630156864318233,-0.018447043824214693,-0.03298512959478228
2015-01-29,0.03113311461766166,0.02589578261385017,-0.00012464819398028126,0.008868497448047297,0.016803748357818726,0.004293864104953249,0.019908176587305704,0.02433972038545895,0.006657010256678753,-0.004206676515603802
2015-01-30,-0.014633885954799752,0.13711590504758542,-0.0003749337174115963,-0.021879123760563335,-0.0231722814233144,-0.022090529260409775,-0.038324646303886656,-0.029322874055839,0.027862863750441003,-0.0018267519755318373
2015-02-02,0.012546885068818625,0.02803710563321249,0.01087872747023888,0.006890097770439585,0.020044396704431033,0.010201733889665165,0.02178221559276272,0.02187521933860581,0.0016868250772241744,0.024707656863609984
2015-02-03,0.00016870519993128497,-0.0025241873816378435,0.03809988039980805,0.01616545237396627,0.022534577766098796,0.0009617633218690358,0.007752039904701968,0.024974486535392026,0.01742777772387849,0.0298062142589961
2015-02-04,0.007669275712661072,0.0033007545975995978,-0.023474849671747844,-0.010735460918204764,-0.005994408688391184,0.0012010814400376102,0.00576938690506168,0.0024863085038471233,0.01963141433148552,-0.008564292106145954
2015-02-05,0.007137753962455751,0.02505830029005307,0.019768653456731178,0.01085196172923486,0.006917247384067293,0.0026393646566773565,0.014579152585817878,0.016368962539602405,0.02608601047059045,0.009840470563786674
2015-02-06,-0.00842082543184397,0.0010431267192869687,-0.004307846514637115,-0.01327297047021303,0.01972867586139282,-0.008135862254680104,-0.0009420992519947324,-0.004392430195566233,-0.016114613003626488,-0.0018543649749601654
2015-02-09,0.006642552451519235,-0.009939126696499656,0.017545767351396346,-0.013056461152303744,-0.0012091091237583784,-0.005307758380973526,-0.0011791576040541818,-0.000979935165370649,-0.00732961096998519,0.0006557015860086945
2015-02-10,0.019211648620339528,0.00658461471310301,-0.009094484178069684,0.0057127697981054215,0.011068803652301007,0.028377695621231158,0.005666087739543357,0.027968070862953054,-0.0034278319072060803,-0.006006737137477902
2015-02-11,0.023438735163972657,0.005737284350710414,-0.005839736619005276,0.0002985544091016479,-0.0015394990210679804,-0.0007080832234875878,-0.005164562655779248,-0.006682249412386265,0.007270726646285697,-0.004504873388033737
