date,EEM,EFA,IWM,QQQ,SPY,TLT,VNQ,XLE,XLK,XLV
2015-01-02,30.355056762695312,43.78063201904297,102.96984100341797,94.78440856933594,170.58956909179688,94.39937591552734,53.111629486083984,25.714981079101562,18.106760025024414,57.29239273071289
2015-01-05,29.8148136138916,42.7471809387207,101.59322357177734,93.3940658569336,167.50881958007812,95.88225555419922,53.40230941772461,24.65121078491211,17.83035659790039,57.000221252441406
2015-01-06,29.689546585083008,42.262977600097656,99.83561706542969,92.14180755615234,165.9310760498047,97.60983276367188,53.93199920654297,24.289073944091797,17.615365982055664,56.80820083618164
2015-01-07,30.331567764282227,42.73272705078125,101.0650634765625,93.3296127319336,167.99874877929688,97.4169921875,54.758853912353516,24.340797424316406,17.764545440673828,58.1439208984375
2015-01-08,30.848304748535156,43.310882568359375,102.77938079833984,95.11592102050781,170.97984313964844,96.12690734863281,54.96555709838867,24.887235641479492,18.155025482177734,59.137325286865234
2015-01-09,30.746530532836914,43.101295471191406,101.79232025146484,94.48977661132812,169.60975646972656,97.17977142333984,54.99140167236328,24.690006256103516,18.09798240661621,58.61137390136719
2015-01-12,30.49598503112793,43.0001220703125,101.45468139648438,93.50454711914062,168.2811279296875,97.73583221435547,55.41128158569336,23.978670120239258,17.88739013671875,58.63642883300781
2015-01-13,30.762191772460938,43.21693420410156,101.53260040283203,93.4769287109375,167.80780029296875,97.73583221435547,55.32731246948242,23.787899017333984,17.874229431152344,58.377647399902344
2015-01-14,30.589935302734375,43.09406661987305,101.12567138671875,92.9612808227539,166.7947235107422,98.47725677490234,55.805320739746094,23.86227035522461,17.773319244384766,58.28582763671875
2015-01-15,30.660409927368164,43.36869812011719,99.4200439453125,91.75508117675781,165.26675415039062,100.0268325805664,55.934505462646484,23.558324813842773,17.545175552368164,57.65971374511719
2015-01-16,30.918781280517578,43.932395935058594,101.0390853881836,92.83241271972656,167.43409729003906,98.7515869140625,56.41899871826172,24.324634552001953,17.71628761291504,58.74495315551758
2015-01-20,30.871801376342773,44.08415985107422,100.61485290527344,93.5689926147461,167.79115295410156,100.06393432617188,55.973262786865234,24.353729248046875,17.86545753479004,58.74495315551758
2015-01-21,31.55296516418457,44.43104934692383,100.29449462890625,94.04779815673828,168.63816833496094,98.90731048583984,55.934505462646484,24.84843635559082,17.896167755126953,58.86183166503906
2015-01-22,32.15583801269531,44.59727096557617,102.33780670166016,95.78807830810547,171.1459503173828,98.55140686035156,56.9293212890625,24.96484375,18.190122604370117,59.563053131103516
2015-01-23,31.913129806518555,44.344322204589844,102.26854705810547,95.9998550415039,170.20765686035156,99.92308807373047,56.76780319213867,24.787006378173828,18.18572998046875,59.22080612182617
2015-01-26,31.928787231445312,44.951393127441406,103.25553894042969,95.88936614990234,170.606201171875,99.6190414428711,57.245819091796875,25.14268684387207,18.111146926879883,59.5296630859375
2015-01-27,31.75653648376465,45.01643371582031,102.76203155517578,93.40326690673828,168.3558349609375,99.77477264404297,57.26520538330078,25.126501083374023,17.589048385620117,59.103919982910156
2015-01-28,31.412036895751953,44.344322204589844,101.0303955078125,92.92447662353516,166.19679260253906,101.40594482421875,56.88407897949219,24.137107849121094,17.558338165283203,58.2524299621582
2015-01-29,31.412036895751953,44.951393127441406,102.42438507080078,93.81761932373047,167.7330322265625,100.73859405517578,57.084346771240234,24.217933654785156,17.72505760192871,58.74495315551758
2015-01-30,30.5507869720459,44.2431526184082,100.17330169677734,93.09024047851562,165.623779296875,102.52546691894531,55.908687591552734,24.428096771240234,17.505687713623047,57.8266716003418
2015-02-02,31.098857879638672,44.7779426574707,101.09101867675781,93.90049743652344,167.67486572265625,102.1384048461914,55.76010513305664,25.175018310546875,17.685571670532227,58.152259826660156
2015-02-03,31.686065673828125,45.493404388427734,102.90054321289062,94.80284118652344,170.0996856689453,99.97650146484375,56.24457931518555,25.863712310791016,17.88739013671875,58.54458999633789
2015-02-04,31.529481887817383,45.117610931396484,102.51961517333984,94.71998596191406,169.45199584960938,100.14738464355469,56.01201629638672,25.436920166015625,17.9224910736084,57.80998992919922
2015-02-05,31.71738624572754,45.73912811279297,103.84428405761719,95.53945922851562,171.16262817382812,99.0478515625,56.683841705322266,25.802291870117188,18.089208602905273,58.78668975830078
2015-02-06,31.177152633666992,45.16819381713867,103.73171997070312,94.9593734741211,170.6892547607422,97.2945327758789,55.036624908447266,25.808752059936523,18.032175064086914,58.2524299621582
2015-02-09,31.130170822143555,44.951393127441406,102.90924072265625,94.65553283691406,169.92529296875,97.13845825195312,54.649024963378906,25.834623336791992,18.0058536529541,57.56787872314453
2015-02-10,31.051876068115234,45.36333084106445,103.5672378540039,96.1287612915039,171.73556518554688,96.36582946777344,54.82344055175781,25.82168960571289,18.273479461669922,58.53626251220703
2015-02-11,30.8248291015625,45.117610931396484,103.42005920410156,96.47867584228516,171.83517456054688,96.54419708251953,54.661949157714844,25.640621185302734,18.34368324279785,58.594696044921875
2015-02-12,31.48250961303711,45.8186149597168,104.5975112915039,97.60199737548828,173.48773193359375,96.22469329833984,55.31437683105469,25.976890563964844,18.593759536743164,58.80338668823242
2015-02-13,31.842662811279297,46.12215805053711,105.22090911865234,98.43989562988281,174.20184326171875,95.23657989501953,54.946189880371094,26.526565551757812,18.71222496032715,59.037139892578125
2015-02-17,31.77219581604004,46.23054885864258,105.54989624023438,98.5319595336914,174.4759063720703,93.80274200439453,54.810523986816406,26.60739517211914,18.720996856689453,59.46289825439453
2015-02-18,31.764373779296875,46.50517654418945,105.6624526977539,98.67008209228516,174.4925079345703,94.35991668701172,55.32084655761719,26.290517807006836,18.738542556762695,59.5296630859375
2015-02-19,31.631271362304688,46.562984466552734,105.67111206054688,99.15807342529297,174.36795043945312,93.73580932617188,54.132259368896484,26.16765785217285,18.80435562133789,59.629852294921875
2015-02-20,31.842662811279297,46.996604919433594,105.95681762695312,99.821044921875,175.4142608642578,94.01072692871094,54.65548324584961,26.041555404663086,18.900875091552734,60.25592803955078
2015-02-23,31.521652221679688,46.83038330078125,106.06075286865234,99.92235565185547,175.38934326171875,95.08800506591797,55.09475326538086,25.934860229492188,18.914037704467773,60.531410217285156
2015-02-24,31.975759506225586,47.11946487426758,106.19927215576172,99.9959945678711,175.88758850097656,96.3361587524414,54.00953674316406,26.005983352661133,18.971084594726562,60.45627975463867
2015-02-25,31.913129806518555,47.15559768676758,106.32048034667969,99.74739074707031,175.73814392089844,96.75218200683594,54.02244186401367,26.148250579833984,18.852619171142578,60.43125534057617
2015-02-26,31.92095375061035,47.02552032470703,106.7100830078125,100.25382232666016,175.53050231933594,95.42973327636719,53.434608459472656,25.663249969482422,18.971084594726562,60.59821319580078
2015-02-27,31.897472381591797,47.04719161987305,106.13001251220703,99.81188201904297,174.9326171875,96.23210144042969,53.85448455810547,25.55008888244629,18.9052677154541,60.306034088134766
2015-03-02,31.85049057006836,47.11946487426758,106.90055084228516,100.71420288085938,176.0370635986328,94.43965911865234,54.16455078125,25.372249603271484,19.0544376373291,60.8486442565918
2015-03-03,31.60777473449707,46.83038330078125,106.26853942871094,100.24462127685547,175.3146209716797,94.09724426269531,54.06122589111328,25.466022491455078,18.927202224731445,60.29766845703125
2015-03-04,31.26327133178711,46.64249038696289,105.93954467773438,99.8578872680664,174.57557678222656,94.12702178955078,53.544437408447266,25.430456161499023,18.852619171142578,60.58987045288086
2015-03-05,31.21629524230957,46.750885009765625,106.2512435913086,100.0328369140625,174.76658630371094,94.00785064697266,53.699462890625,25.278474807739258,18.830678939819336,60.8068962097168
2015-03-06,30.738693237304688,46.114925384521484,104.9092025756836,98.90029907226562,172.30856323242188,91.93108367919922,51.91656494140625,24.82581329345703,18.598142623901367,59.61315155029297
2015-03-09,30.621253967285156,46.18720245361328,105.36808776855469,99.18574523925781,173.02264404296875,92.7796401977539,52.32999038696289,24.647972106933594,18.685897827148438,59.98046875
2015-03-10,29.94008445739746,45.182647705078125,104.1559829711914,97.34420013427734,170.21595764160156,94.00042724609375,52.29124450683594,24.305233001708984,18.304189682006836,59.31262969970703
2015-03-11,30.16714859008789,45.29828643798828,104.79666900634766,96.78252410888672,169.8173370361328,94.68528747558594,52.33646011352539,24.37636947631836,18.18572998046875,59.27923583984375
2015-03-12,30.355056762695312,45.86197280883789,106.53694152832031,97.4178695678711,171.9763946533203,94.61832427978516,53.247283935546875,24.22117805480957,18.304189682006836,60.063941955566406
2015-03-13,29.9870662689209,45.594581604003906,106.1559829711914,96.9942855834961,170.92173767089844,94.32796478271484,53.21498489379883,24.130630493164062,18.203277587890625,59.94706726074219
2015-03-16,30.34722137451172,46.107696533203125,106.77935791015625,98.2465591430664,173.20538330078125,95.23615264892578,53.764041900634766,24.45720672607422,18.418272018432617,61.274410247802734
2015-03-17,30.69955062866211,45.9920654296875,107.06507110595703,98.40306854248047,172.6905517578125,96.02510070800781,53.74467468261719,24.363439559936523,18.42265510559082,61.09911346435547
2015-03-18,31.45118522644043,46.97492599487305,107.92221069335938,99.369873046875,174.76658630371094,97.8786849975586,54.86867141723633,25.071542739868164,18.6727352142334,61.892154693603516
2015-03-19,30.918781280517578,46.42568588256836,108.13001251220703,99.5171890258789,173.9693603515625,97.37993621826172,54.84281921386719,24.673839569091797,18.620088577270508,62.25110626220703
2015-03-20,31.380718231201172,47.451904296875,109.08238220214844,100.16138458251953,175.50494384765625,97.89356994628906,56.2187385559082,25.03680419921875,18.740352630615234,62.70150375366211
2015-03-23,31.474674224853516,47.690391540527344,108.98715209960938,99.96757507324219,175.16299438476562,97.77449798583984,56.14768600463867,24.948917388916016,18.740352630615234,62.52570724487305
2015-03-24,31.599945068359375,47.589210510253906,108.9611587524414,99.6076431274414,174.17872619628906,98.71983337402344,55.6696662902832,24.782896041870117,18.678678512573242,61.98155975341797
2015-03-25,31.098857879638672,47.36516571044922,106.35843658447266,97.3281021118164,171.62637329101562,97.8861083984375,54.709224700927734,25.10517692565918,18.19849395751953,60.85143280029297
2015-03-26,30.80915641784668,46.953250885009766,106.22817993164062,96.99588012695312,171.21763610839844,96.3600845336914,54.423282623291016,25.075870513916016,18.211706161499023,60.70912170410156
2015-03-27,30.895282745361328,47.07609939575195,106.90553283691406,97.38346862792969,171.60971069335938,97.55855560302734,54.49477005004883,24.87079429626465,18.224918365478516,61.144447326660156
2015-03-30,31.49032974243164,47.105010986328125,108.35588836669922,98.50017547607422,173.7032470703125,97.07473754882812,55.27456283569336,25.404661178588867,18.4451961517334,61.76389694213867
2015-03-31,31.41986846923828,46.375091552734375,108.00848388671875,97.45731353759766,172.1852264404297,97.28316497802734,54.78719711303711,25.254911422729492,18.255756378173828,60.6923942565918
2015-04-01,31.81134605407715,46.7075309753418,108.05191040039062,96.94973754882812,171.57630920410156,98.56096649169922,54.709224700927734,25.248397827148438,18.22933578491211,60.08125686645508
2015-04-02,32.28895568847656,47.11223220825195,108.25166320800781,97.01431274414062,172.19351196289062,97.51665496826172,55.1251220703125,25.300500869750977,18.224918365478516,60.26542663574219
2015-04-06,32.70390701293945,47.589210510253906,108.72929382324219,97.80803680419922,173.35293579101562,96.97213745117188,55.69694519042969,25.756235122680664,18.401142120361328,60.35749435424805
2015-04-07,32.539485931396484,47.524166107177734,108.03453826904297,97.64192962646484,172.89419555664062,97.78516387939453,54.7157096862793,25.77251434326172,18.36149787902832,60.49983215332031
2015-04-08,33.22065734863281,47.726524353027344,108.96375274658203,98.4171371459961,173.47805786132812,97.81501007080078,54.800193786621094,25.564180374145508,18.41876220703125,61.01047897338867
2015-04-09,33.549495697021484,47.79157257080078,108.57296752929688,99.03546905517578,174.2454071044922,96.54692077636719,53.66298294067383,25.974349975585938,18.467220306396484,61.47089767456055
2015-04-10,33.5729866027832,47.88552474975586,109.09403991699219,99.44151306152344,175.19631958007812,96.68865966796875,53.623992919921875,26.08828353881836,18.53770637512207,61.9983024597168
2015-04-13,33.37724685668945,47.58197784423828,109.16351318359375,99.19233703613281,174.40394592285156,96.82293701171875,53.48103713989258,25.82785415649414,18.48484230041504,61.6634521484375
2015-04-14,33.526004791259766,47.93610763549805,109.13746643066406,98.90626525878906,174.73756408691406,97.50923919677734,53.66950225830078,26.293373107910156,18.427570343017578,61.76389694213867
2015-04-15,33.76089859008789,48.15291213989258,109.90169525146484,99.52460479736328,175.52166748046875,97.42717742919922,53.26659393310547,26.921646118164062,18.590566635131836,61.9229621887207
2015-04-16,34.027099609375,48.28299331665039,109.8409194946289,99.38615417480469,175.47161865234375,96.94232177734375,53.40304183959961,26.859804153442383,18.52449607849121,61.889488220214844
2015-04-17,33.43205642700195,47.675941467285156,108.06059265136719,97.83568572998047,173.45303344726562,98.05372619628906,53.156131744384766,26.66448211669922,18.268980026245117,61.35373306274414
2015-04-20,33.40073776245117,47.726524353027344,109.12007904052734,99.30307006835938,175.03782653808594,97.18842315673828,53.234092712402344,26.76539421081543,18.581754684448242,61.73042678833008
2015-04-21,33.59646987915039,48.15291213989258,109.0071792602539,99.72763061523438,174.8292999267578,96.74833679199219,53.325050354003906,26.482181549072266,18.572946548461914,62.1406135559082
2015-04-22,33.956626892089844,48.246864318847656,109.17218017578125,100.27214050292969,175.6884765625,95.27136993408203,53.435546875,26.657958984375,18.76238250732422,62.2410774230957
2015-04-23,34.2071647644043,48.42753219604492,109.66722106933594,100.6505126953125,176.13052368164062,95.681640625,53.5784912109375,26.840267181396484,18.837261199951172,62.47547149658203
2015-04-24,34.33244323730469,48.709388732910156,109.30247497558594,102.01639556884766,176.53927612304688,96.27837371826172,53.68897247314453,26.687273025512695,19.00027084350586,62.27454376220703
2015-04-27,34.46554183959961,48.947879791259766,108.0953369140625,101.75797271728516,175.80520629882812,96.27837371826172,53.61750411987305,26.657958984375,19.053131103515625,61.144447326660156
2015-04-28,34.52035903930664,49.00568389892578,108.694580078125,101.55494689941406,176.36412048339844,94.95059967041016,53.51351547241211,26.791446685791016,19.114803314208984,61.44580078125
