month,AAPL,AMZN,CAT,JNJ,JPM,KO,MSFT,NVDA,V,XOM,EEM,EFA,IWM,QQQ,SPY,TLT,VNQ,XLE,XLK,XLV
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,0.025820146647415016,0.06045350090474575,-0.00828268537096255,-0.008924629733139714,0.01779950357157219,-0.008541224877046524,-0.0012576097571721512,0.004469865670926387,0.0036044310734642537,-0.015031495975082779,0.005621495829901828,0.011149126296212675,0.009091472846805634,0.007934776496215878,0.0022946050004279037,-0.010512450561255252,-0.01249064485217218,-0.006108199203315345,0.00288884182444199,0.014805587162787922
2015-08-01,0.017427727840424727,0.08540479529625887,-0.01630203963505672,-0.0036186974499916908,0.017824429454936945,-0.0005842421375658839,0.007173168515173023,0.002694739375666555,0.02051322426731071,-0.019735063146029432,-0.00419581143528699,0.012458931436326117,0.006215626994337864,0.013312354922921583,0.005193829836706417,-0.0025165094589042164,-0.002462710409526947,-0.01622175860151844,0.006547872621656713,0.01691542472097404
2015-09-01,0.006974755113570985,0.06930627286640162,-0.01774578911377056,-0.0100407440836483,0.007515971924397943,-0.005866615889165802,-0.0014671045162656243,0.01880260800334961,0.011439908823305103,-0.022422236770481732,-0.014716577937510689,0.0016201843198635352,-0.002450072330281966,0.0031176779183310077,-0.0030741516414627135,-0.0030638048899307435,-0.010018780017362755,-0.019508977458728052,-0.0011694202718760677,0.0048453597236242235
2015-10-01,0.0037757389907414,0.061388933616688006,-0.03187962299707549,-0.009669975734933481,0.0012552883796919964,-0.0019719150688442357,0.0005851677276384163,0.02743904680039709,0.0076130865332849134,-0.021245184514721942,-0.01656183494503247,-0.0034697077055797004,-0.007662687914502309,0.0003187310968347666,-0.005567704980983456,-0.0005379344555926924,-0.005505834108324923,-0.025333912869488915,-0.0025637017353436547,-0.00202953201466601
2015-11-01,0.011739035796021157,0.07752240572432145,-0.015769818360415855,-0.0004758579040983979,0.007269846898139665,0.0037836311763204456,0.019460258787643382,0.039786438345856746,0.018221287502849848,-0.007836240224385815,-0.00852979915705474,0.0034892601355902665,-0.0012736815968980909,0.011656764142234554,0.0034950278204105454,-0.0008929846860733726,0.0008032720825812412,-0.011640407807909514,0.008199003189868237,0.005888930170947515
2015-12-01,0.010144204791232377,0.07612496468752644,-0.014759653842436604,0.00042790327036979945,0.01004719094564599,0.004720892960227849,0.021276953203160507,0.04729020809329416,0.018406880087219638,-0.007528337807818899,-0.01004858354824559,0.0024877681829591695,0.0018056757007388522,0.011150534087384695,0.0035095784600804366,-0.001600651821224839,0.00016126917100636992,-0.010595553964800134,0.008099250736419624,0.005060476296722036
2016-01-01,0.00011317415304190614,0.0711713518488878,-0.018909376474375728,0.0016104635196441768,0.008397606476948307,0.004992240367635191,0.02123646394447388,0.04660700931288931,0.01533311650767366,-0.01068698385853765,-0.012394416342716088,0.0003372077664853164,-0.0025367781031972922,0.008892360642715619,0.0017769015455945114,-0.0017148607117821735,0.001673669653016352,-0.018476718826524158,0.005690041379031267,0.006074502550708266
